Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GOED,1847 Goedeker Inc.,6.52,$39.85M,2020,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed
XXII,"22nd Century Group, Inc",0.8356,$116.03M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,3.96,$980.88M,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,4.76,$108.25M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.98,$354.25M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",7.18,$62.64M,1992,n/a,n/a,https://old.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,27.15,$90.58M,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",11.44,$155.43M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",21.13,$89.64M,n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,1.845,$2.85M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",2.31,$132.21M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",1.61,$60.68M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AIRI,Air Industries Group,1.1186,$34.25M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,2.85,$390.62M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu
AAU,"Almaden Minerals, Ltd.",1.21,$145.63M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",15.1,$205.18M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,21.75,$35.5M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,2.29,$53.36M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,66.755,$37.71M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,1.89,$10.76M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams
USAS,Americas Gold and Silver Corporation,2.99,$347.48M,2017,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas
AP.WS,Ampco-Pittsburgh Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ap.ws
AMPE,"Ampio Pharmaceuticals, Inc.",0.8501,$157.32M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe
ANVS,"Annovis Bio, Inc.",4.6499,$31.93M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs
ARMP,"Armata Pharmaceuticals, Inc.",3.38,$63.1M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp
AINC,Ashford Inc.,5.9,$14.79M,2014,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc
AWX,Avalon Holdings Corporation,1.89,$7.32M,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx
ASM,Avino Silver,1.12,$97.68M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm
BTG,B2Gold Corp,6.95,$7.3B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",1.5,$22.19M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn
BCV,Bancroft Fund Limited,26.48,$141.75M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,25.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",20.79,$313.6M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",0.9185,$7.6M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn
BATL,Battalion Oil Corporation,7,$113.43M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/batl
BIOX,Bioceres Crop Solutions Corp.,5.45,$209.8M,2018,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox
PHGE,BiomX Inc.,6.15,$142.35M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/phge
PHGE.U,BiomX Inc.,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/phge.u
PHGE.WS,BiomX Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/phge.ws
BGI,Birks Group Inc.,0.705,$12.67M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi
BKTI,BK Technologies Corporation,2.97,$37.11M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",0.97,$9.47M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr
BRBS,"Blue Ridge Bankshares, Inc.",14.3,$81.78M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/brbs
BRG,"Bluerock Residential Growth REIT, Inc.",8.44,$208.43M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",25.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",26.0213,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.635,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^d
DMF,BNY Mellon Municipal Income Inc.,8.45,$175.32M,1988,n/a,n/a,https://old.nasdaq.com/symbol/dmf
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bwl.a
BRMK.WS,Broadmark Realty Capital Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brmk.ws
CMCL,Caledonia Mining Corporation Plc,17.02,$206.26M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.685,$17.13M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.76,$27.13M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf
YCBD,"cbdMD, Inc.",2.78,$144.85M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd
YCBD^A,"cbdMD, Inc.",7.96,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ycbd^a
CVM,Cel-Sci Corporation,11.57,$446.88M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,29.867,$770.18M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,9.7,$116.79M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu
CHAQ,Chardan Healthcare Acquisition 2 Corp.,9.8,$105.63M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/chaq
CHAQ.U,Chardan Healthcare Acquisition 2 Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/chaq.u
CHAQ.WS,Chardan Healthcare Acquisition 2 Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chaq.ws
CCF,Chase Corporation,101.56,$959M,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",35.68,$17.27B,2007,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",49.98,$12.61B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,21.425,$20.7M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.3868,$16.86M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",9.49,$18.43M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,9.33,$78.44M,2004,n/a,n/a,https://old.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,11.7,$154.8M,2005,n/a,n/a,https://old.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,9.66,$311.29M,2006,n/a,n/a,https://old.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,17.7,$20.99M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cohn
CIX,CompX International Inc.,13.52,$168.34M,1998,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",1.06,$36.51M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",2.9,$34.83M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cdor
MCF,Contango Oil & Gas Company,1.2,$191.39M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf
CMT,Core Molding Technologies Inc,10.09,$85.78M,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/cmt
CRMD,CorMedix Inc.,5.23,$163.38M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",10.99,$442.2M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",11.06,$841.9M,1987,n/a,n/a,https://old.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",2.2899,$27.31M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.07,$160.58M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.19,$226.68M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,2.33,$166.61M,2015,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/crhm
CTO,"CTO Realty Growth, Inc.",48.29,$227.48M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/cto
CTEK,"CynergisTek, Inc.",1.37,$14.52M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,13.85,$55.59M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",13.8228,$66.86M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.509,$56.65M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.06,$150.25M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",16.74,$115.34M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.3451,$233.77M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/dnn
