Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VCVC,10X Capital Venture Acquisition Corp,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vcvc
VCVCU,10X Capital Venture Acquisition Corp,n/a,n/a,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcu
TXG,"10x Genomics, Inc.",147.7,$15.78B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.84,$563.34M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",3.05,$15.12M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",23.36,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.72,$53.53M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",21.15,$1.36B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.2925,$45.32M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",31.48,$3.97B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.92,$132.27M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,31.92,$815.67M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",26.5,$3.52B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",39.55,$2.85B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 DigiTech, Inc.",12.07,$1.77B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,2.99,$112.11M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
FVAM,5:01 Acquisition Corp.,10.05,$104.12M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fvam
JOBS,"51job, Inc.",73.5,$4.94B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",24.68,$502.83M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
EGHT,8x8 Inc,18.7,$1.99B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",0.723,$102.98M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
JFU,9F Inc.,1.27,$247.89M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",63.54,$3.32B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABCM,Abcam plc,20.09,$4.55B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm
ABEO,Abeona Therapeutics Inc.,1.03,$87.32M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",272.21,$12.3B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.6,$13.53M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ABST,Absolute Software Corporation,11.79,$575.09M,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/abst
ACIU,AC Immune SA,4.84,$347.23M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",68.44,$2.88B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.59,$176.91M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ASO,"Academy Sports and Outdoors, Inc.",17.5,$1.54B,2020,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso
ACHC,"Acadia Healthcare Company, Inc.",38.29,$3.41B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,50.19,$7.97B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,10.13,$386.93M,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.4433,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,1.15,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.1817,$17.61M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",9.45,$532.56M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,113.44,$6.79B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ACCD,"Accolade, Inc.",37.46,$2.06B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd
ARAY,Accuray Incorporated,2.89,$263.57M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACEV,ACE Convergence Acquisition Corp.,9.71,$279.16M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acev
ACEVU,ACE Convergence Acquisition Corp.,10,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevu
ACEVW,ACE Convergence Acquisition Corp.,0.67,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevw
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acll
ACRX,"AcelRx Pharmaceuticals, Inc.",1.45,$130.97M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,2.64,$31.45M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
