Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,6.24,$755.88M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,163.02,$94.03B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,2.76,$118.68M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
EGHT,8x8 Inc,18.7,$1.99B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.41,$30.19M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,54.56,$8.81B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.49,$574.55M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,20.06,$708.13M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aarons Holdings Company, Inc.",57.17,$3.84B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,26.75,$55.96B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,114.42,$202.58B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,92.85,$163.92B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,15.53,$968.66M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.25,$116.08M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,4.72,$403.13M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,9.51,$165.78M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.64,$115.85M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
ASGI,Aberdeen Standard Global Infrastructure Income Fund,16.57,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/asgi
AOD,Aberdeen Total Dynamic Dividend Fund,7.95,$838.18M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,36.82,$2.46B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,9.46,$816.06M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",10.27,$977.58M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACN,Accenture plc,236.29,$149.83B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,5.75,$543.36M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",20.63,$53.25M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AYI,"Acuity Brands, Inc. ",95.33,$3.57B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,39.05,$2.9B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",16.85,$1.83B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",9.58,$285.28M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo
ADCT,ADC Therapeutics SA,32.5,$2.49B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
AGRO,Adecoagro S.A.,4.72,$556.16M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,25.03,$2.35B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,7.21,$5.95B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,26.03,$1.36B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,156.38,$10.81B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
WMS,"Advanced Drainage Systems, Inc.",65.71,$4.57B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,15.71,$440.36M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,14.56,$502.69M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk
IMPX.U,AEA-Bridges Impact Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/impx.u
ACM,AECOM,46,$7.38B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
AEFC,Aegon Funding Company LLC,26.49,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEB,Aegon NV,25.09,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEG,Aegon NV,2.88,$5.84B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AER,Aercap Holdings N.V.,27.04,$3.51B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",33.96,$2.59B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",79.44,$3.6B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",27.03,n/a,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr
MGRB,"Affiliated Managers Group, Inc.",25.85,n/a,2020,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgrb
AFL,Aflac Incorporated,36.9,$25.92B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",2.7,$109.95M,2011,n/a,n/a,https://old.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",19.09,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",18.97,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^b
MITT^C,"AG Mortgage Investment Trust, Inc.",19,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^c
AGCO,AGCO Corporation,90.69,$6.79B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",112.54,$34.7B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,84.16,$20.4B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,63.1,$3.49B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
AL,Air Lease Corporation,30.59,$3.48B,2011,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,23.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",306.72,$67.75B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
AJAX.U,Ajax I,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/ajax.u
ALP^Q,Alabama Power Company,27.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",128.64,$1.53B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,10.02,$3.93B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",38.26,$4.73B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk
AIN,Albany International Corporation,54.11,$1.75B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,112.22,$11.94B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
ACI,"Albertsons Companies, Inc.",15.49,$7.32B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
AA,Alcoa Corporation,14.44,$2.68B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
ALC,Alcon Inc.,62.96,$30.79B,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",12.96,$937.71M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",237.99,$1.22B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",157.12,$21.2B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
AQN,Algonquin Power & Utilities Corp.,15.97,$9.46B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.35,n/a,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,27.42,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,299.95,$811.56B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba
Y,Alleghany Corporation,572.54,$8.19B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,10.08,$1.28B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
ALLE,Allegion plc,102.83,$9.46B,2013,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle
ALE,"Allete, Inc.",53.79,$2.79B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,58.67,$2.8B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.68,$393.23M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
